NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES,MES_NUM,FECHA
Chapalilla - Compostela ,CAMINO,2021,ENERO,138650.0,2112.0,5740.0,1281.0,0.0,5201.0,4719.0,455.0,6091.0,2094.0,21,1,903,0,167268.0,691,0,0,1,2021-01-01
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,ENERO,2181.0,38.0,4.0,1.0,0.0,162.0,205.0,10.0,64.0,46.0,2,2,88,0,2803.0,8,0,0,1,2021-01-01
Matamoros,PÚENTE INTERNACIONAL,2021,ENERO,68332.0,198.0,0.0,0.0,0.0,61.0,1.0,5.0,0.0,0.0,0,0,0,0,68597.0,155,0,"68,232",1,2021-01-01
Camargo,PÚENTE INTERNACIONAL,2021,ENERO,19070.0,33.0,0.0,0.0,0.0,52.0,100.0,6.0,1206.0,27.0,18,0,"1,260",0,21772.0,297,0,"2,557",1,2021-01-01
Miguel Alemán,PÚENTE INTERNACIONAL,2021,ENERO,36472.0,9.0,4.0,14.0,0.0,69.0,80.0,59.0,1856.0,9.0,0,0,0,0,38572.0,297,0,"10,274",1,2021-01-01
Reynosa,PÚENTE INTERNACIONAL,2021,ENERO,89089.0,107.0,124.0,369.0,0.0,68.0,27.0,4.0,1.0,0.0,0,0,0,0,89789.0,394,0,"101,780",1,2021-01-01
Las Flores,PÚENTE INTERNACIONAL,2021,ENERO,40421.0,33.0,0.0,0.0,0.0,69.0,708.0,32.0,1288.0,420.0,23,3,"1,841",0,44838.0,101,20,"76,627",1,2021-01-01
Dovalí Jaime Bis,PUENTE NACIONAL,2021,ENERO,14513.0,1268.0,11.0,0.0,0.0,531.0,118.0,13.0,18.0,3.0,0,0,0,0,16475.0,55,0,0,1,2021-01-01
Ojinaga,PÚENTE INTERNACIONAL,2021,ENERO,41094.0,6.0,3.0,69.0,0.0,736.0,183.0,160.0,535.0,58.0,0,46,0,0,42890.0,"1,221",0,"5,235",1,2021-01-01
Piedras Negras,PÚENTE INTERNACIONAL,2021,ENERO,38576.0,42.0,0.0,0.0,0.0,134.0,1.0,1.0,0.0,0.0,0,0,0,0,38754.0,130,0,"24,469",1,2021-01-01
